drug	bbb_Target	bbb_MechanismOfAction	bbb_CurrentlyApprovedForGBM	bbb_ClinicalExperienceInGBM	bbb_ClinicalExperiencePMIDOrClinicalTrialID	bbb_FDAapprovalDocuments	bbb_BBBPubmedID	bbb_BBBCitation	bbb_BBBInformation	bbb_ExperimentalEvidenceBBB	bbb_CNSActivityPredictionScoreMPOAnalysis	bbb_CNSActivityPredictionClassification	bbb_MDR_ABCB1_BCRP_ABCG2_substrate	bbb_TransporterSubstrate	bbb_TransporterInhibitor	bbb_EffluxPumpText	bbb_EffluxPubmedID	bbb_EffluxCitation	bbb_InfluxTransporterSubstrate	bbb_UptakeTransporterText	bbb_UptakeTransporterPubmedID	bbb_UptakeTransporterCitation	bbb_AdverseEffects	bbb_Drug_DrugInteractions	bbb_CYP450Substrate	bbb_CYP450Inhibitor	bbb_CYP450Inducer	bbb_FDAApprovalStatus	bbb_MPOValueClogP	bbb_MPOValueClogD	bbb_MPOValueTPSA	bbb_MPOValueMW	bbb_MPOValueHBD	bbb_MPOValuepKa	bbb_MPOT0ClogP	bbb_MPOT0ClogD	bbb_MPOT0TPSA	bbb_MPOT0MW	bbb_MPOT0HBD	bbb_MPOT0pKa	bbb_QikPropCNSActivity	bbb_QikPropmolMW	bbb_QPlogBB	bbb_QPlogKhsa	bbb_QPPCaco	bbb_QPPMDCK	bbb_RuleOfFive	bbb_QikPropBBBPlus	bbb_UptakeTransporterSubstrate	bbb_UptakeTransporterInhibitor	bbb_RouteofAdministration	bbb_BrandName
Temozolomide	Alkylating agent	Temozolomide undergoes rapid chemical conversion at physiologic pH to the active compound, monomethyl triazeno imidazole carboxamide (MTIC). The cytotoxicity of MTIC is thought to be due primarily to methylation of DNA at the O6 position of guanine.1,2 Both temozolomide and dacarbazine are prodrugs of MTIC. Unlike dacarbazine, temozolomide does not require metabolic activation by the cytochrome P450.	YES	Multicentre CRC phase II trial of temozolomide in recurrent or progressive high-grade glioma; The observation of objective responses and tolerable side effects in this heterogeneous population of patients supports the further investigation of this agent in high-grade gliomas.	http://www.ncbi.nlm.nih.gov/pubmed/?term=9332462	In comparing plasma levels of TEM to CSF levels, CSF levels of TEM were approximately 40%.	http://www.ncbi.nlm.nih.gov/pubmed/?term=9788568	Marzolini C, Cancer Chemother Pharmacol 1998, 42:433-440	TMZ crosses the blood-brain barrier and the concentration detected in CSF amounted to 9%, 28%, and 29% of the corresponding plasma levels (three patients). 	YES	4.966666667	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Gastrointestinal toxicity, Pneumonia, Secondary malignancies	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Valproic Acid and Derivatives 	unspecified	unspecified	unspecified	FDA Approved	-1.31	-1.31	106	194	2	-1.63	1	1	0.466666667	1	0.5	1	-1	188.105	-0.715	-1.355	250.822	110.952	0	No	unspecified	unspecified	Oral, IV	Temodar
Temsirolimus	mTOR	inhibits mammalian target of rapamycin (mTOR) kinase signaling by binding to the intracellular protein FKBP-12.	NO	Drugs that induce cytochrome P450 3A4, such as EIAEDs, significantly affect the pharmacokinetics of temsirolimus and its active metabolite, sirolimus. Total exposure to temsirolimus and sirolimus was lower in the EIAED group at the maximum tolerated dose of 250 mg compared with the non-EIAED group at the maximum tolerated dose of 170 mg. However, brain tumor tissue concentrations of temsirolimus and sirolimus were relatively comparable in both groups of patients at their respective dose levels.	http://www.ncbi.nlm.nih.gov/pubmed/?term=18094423	Radioactivity detected in the brain, but low (14% of plasma at C- 5 minutes).	http://www.ncbi.nlm.nih.gov/pubmed/?term=18094423	Kuhn J, Clin Cancer Res 2007, 13:7401-7406	Following a single 30-min infusion of temsirolimus, tumor tissue concentrations of both temsirolimus and sirolimus were observed. The average tissue to whole blood ratio for temsirolimus was 1.43 and 0.84 for sirolimus. To our knowledge, this is the first report of the ability of temsirolimus and its metabolite, sirolimus, to penetrate the brain tumor barrier. 	YES	2.52	NO	yes	ABCB1	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Angioedema, Bowel perforation, Hyperglycemia, Hyperlipidemia, Hypersensitivity/infusion reactions, Infection, Interstitial lung disease, Renal failure, Wound healing	ACE Inhibitors, Aripiprazole, Aripiprazole, BCG, Carbamazepine, Clozapine, Coccidioidin Skin Test, Conivaptan, Cyclosporine (Systemic), CYP3A4 Inducers (Strong), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), Dabrafenib, Dasatinib, Deferasirox, Denosumab, Dofetilide, Echinacea, Fluconazole, Fosphenytoin, Herbs (CYP3A4 Inducers), Itraconazole, Ivacaftor, Ketoconazole (Systemic), Leflunomide, Lomitapide, Macrolide Antibiotics, Mifepristone, Natalizumab, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, Phenytoin, Pimecrolimus, Pimozide, Posaconazole, Protease Inhibitors, Rifamycin Derivatives, Roflumilast, Sipuleucel-T, SUNItinib, Tacrolimus (Systemic), Tacrolimus (Topical), Tocilizumab, Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	CYP3A4	CYP2D6, CYP3A4	unspecified	FDA Approved	2.96	2.96	241.96	1030.29	4	-2.15	1	0.52	0	0	0	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Torisel
Teniposide	Topoisomerase inhibitor	epipodophyllotoxin, structurally and pharmacologically related to etoposide.2 Teniposide inhibits type II topoisomerase resulting in single- and double-stranded DNA breaks.1,3 It does not intercalate into nor bind strongly to DNA	NO	Nimustine (ACNU) plus teniposide (VM26) in recurrent glioblastoma; The benefit of the nimustine-teniposide combination is moderate in patients with recurrent GBM. The data support the efficacy of the nimustine-teniposide chemotherapy, but the rate of high-grade hematotoxicity is increased.	http://www.ncbi.nlm.nih.gov/pubmed/?term=19218824	The blood-brain barrier appears to limit diffusion of teniposide into the brain, although in a study in patients with brain tumors, CSF levels of teniposide were higher than CSF levels reported in other studies of patients who did not have brain tumors.	http://www.ncbi.nlm.nih.gov/pubmed/?term=6530619	Stewart D, J Neurooncol 1984, 2:315-324	Thirty-four consenting patients received VM-26 50-100 mg/m2 I.V. before surgical resection of intracerebral tumor, and drug was measured using a high pressure liquid chromatographic technique. Sufficient tumor for analysis was obtained from 29 patients. Brain metastases (13 patients) had higher concentrations of VM-26 than did gliomas (13 patients). Our data suggest that VM-26 penetrates into intracerebral tumor in most patients. However, concentrations appear to be higher in brain metastases than in primary brain tumors and the drug was not detectable in 4 of 13 gliomas.	YES	2.196666667	NO	yes	ABCC6; ABCG2; ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Extravasation, Hypotension, Toxicity with high doses	Amphotericin B, Aripiprazole, Barbiturates, BCG, Clozapine, Coccidioidin Skin Test, Conivaptan, CYP3A4 Inducers (Strong), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), Dabrafenib, Dasatinib, Deferasirox, Denosumab, Dofetilide, Echinacea, Fosphenytoin, Herbs (CYP3A4 Inducers), Ivacaftor, Leflunomide, Lomitapide, Mifepristone, Natalizumab, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, Phenytoin, Pimecrolimus, Pimozide, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tocilizumab, Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Vincristine, Vincristine (Liposomal)	CYP3A4	CYP2C9, CYP3A4	unspecified	FDA Approved	1.71	1.71	189	657	3	9.94	1	1	0	0	0.166666667	0.03	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Vumon
Thalidomide	Unknown	not completely understood. In vitro and in vivo studies indicate that it inhibits the production of tumor necrosis factor-alpha in monocytes. Thalidomide may induce the down-regulation of integrin receptors and other surface adhesion proteins, reduce IgM production, alter CD4/CD8 T-cell ratios as well as increase the total numbers of CD8 and CD4 T-cells,1 and inhibit angiogenesis. Anti-inflammatory properties have been suggested through decreasing the production of oxygen-free radicals and other mediators in inflammatory response.2,3 Thalidomide may enhance cell-mediated immunity by directly stimulating cytotoxic T-cells	NO	This drug combination [thalidomide + TMZ] was reasonably safe, but with little indication of improvement compared to temozolomide alone.	http://www.ncbi.nlm.nih.gov/pubmed/?term=17031561	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=15651096	Huang Y, Biomed Chromatogr 2005, 19:488-493	A rapid and sensitive system of liquid chromatography coupled with microdialysis was developed for the simultaneous determination of unbound thalidomide in rat blood, brain and bile for pharmacokinetic study. The average in vivo recoveries were 0.31+/- 0.02,0.046+/- 0.004 and 0.57+/- 0.02 (n=6), respective to the dialysates of blood, brain and bile, with thalidomide at concentrations 2, 5 and 10 microg mL(-1). The disposition of thalidomide in the blood, brain and bile fluid suggests that there is a rapid thalidomide exchange and equilibration between the blood and brain systems.	YES	4.833333333	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppresion, Bradycardia, CNS effects, Constipation, Dermatologic reactions, Hypersensitivity, Orthostatic hypotension, Peripheral neuropathy, Secondary malignancy, Seizures, Thromboembolic events, Tumor lysis syndrome	Abatacept, Alcohol (Ethyl), Anakinra, Azelastine (Nasal), BCG, Brimonidine (Topical), Buprenorphine, Canakinumab, Certolizumab Pegol, Clozapine, CNS Depressants, Coccidioidin Skin Test, Denosumab, Dexamethasone (Systemic), Doxylamine, Droperidol, Echinacea, Hydroxyzine, Leflunomide, Magnesium Sulfate, Methotrimeprazine, Metyrosine, Mirtazapine, Natalizumab, Pamidronate, Paraldehyde, Perampanel, Pimecrolimus, Pramipexole, Rilonacept, Roflumilast, ROPINIRole, Rotigotine, Selective Serotonin Reuptake Inhibitors, Sipuleucel-T, Sodium Oxybate, Tacrolimus (Topical), Tapentadol, Tocilizumab, Tofacitinib, Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Zoledronic Acid, Zolpidem	unspecified	unspecified	unspecified	FDA Approved	0.54	0.54	84	258	1	10.7	1	1	1	1	0.833333333	0	-1	248.154	-0.044	-2.56	1444.211	736.024	0	No	unspecified	unspecified	Oral	Thalomid
Thioguanine	Purine antagonist	purine antagonist.1 It is a pro-drug that is converted intracellullarly directly to thioguanine monophosphate3 (also called 6-thioguanylic acid)4 (TGMP) by the enzyme hypoxanthine-guanine phosphoribosyl transferase (HGPRT). TGMP is further converted to the di- and triphosphates, thioguanosine diphosphate (TGDP) and thioguanosine triphosphate (TGTP).5 The cytotoxic effect of thioguanine is a result of the incorporation of these nucleotides into DNA. Thioguanine has some immunosuppressive activity.1	NO	We evaluated the efficacy of temozolomide (TMZ) or lomustine (CCNU) in combination with 6-thioguanine, capecitabine, and celecoxib for the treatment of recurrent high-grade glioma. Forty-three patients with recurrent glioblastoma and 31 patients with recurrent anaplastic glioma (AG) were enrolled in this open-label, non-comparative study. The combination therapy with 6-thioguanine, capecitabine and celecoxib plus CCNU or TMZ does not appear to be more effective than other alkylating agent schedules for patients with recurrent glioblastoma. The combination, however, is promising for patients with recurrent high-grade AG.	http://www.ncbi.nlm.nih.gov/pubmed/?term=20652724	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=15287899	Mori S, J Neurochem 2004, 90:931-941	The intracerebral effect of thiopurine nucleobase analogs in suppressing the proliferation of leukemic cells in comparison with their peripheral effects is limited, as only restricted distribution of 6-MP and 6-TG in the brain and CSF has been demonstrated after systemic administration. Thus, the brain-to-blood transport of thiopurine nucleobase analogs at the BBB plays a crucial role in the restricted distribution in the CNS.	NO	3.966666667	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Hepatotoxicity, Secondary malignancies, Tumor lysis syndrome	5-ASA Derivatives, Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	-1.31	-1.31	106	194	2	14.77	1	1	0.466666667	1	0.5	0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Tabloid
Thioridazine	Anti-psychotic	A phenothiazine antipsychotic used in the management of psychoses, including schizophrenia, and in the control of severely disturbed or agitated behavior. 	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=9566048	Daniel W, Pol J Pharmacol 1997, 49:439-452	Male Wistar rats received thioridazine as a single dose (10 mg/kg i.p.) or they were treated chronically with the neuroleptic (10 mg/kg i.p., twice a day for two weeks). The maximum concentrations of thioridazine and its metabolites in the brain appeared later than in plasma. The peak concentrations and AUC values of thioridazine and its metabolites were higher in the brain than in plasma and this corresponded well with their longer half-lives in the brain as compared to plasma.	YES	4.1	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Arrythmias, anticholinergic effects, blood dyscrasias, esophageal dysmotility, extrapyramidal symptoms, hyperprolactinemia, neuroleptic malignant syndrome, ocular effects, orthostatic hypotension, sedation, temperature regulation	AbobotulinumtoxinA, Acetylcholinesterase Inhibitors, Aclidinium, Alpha-/Beta-Agonists, Amisulpride, Amphetamines, Analgesics (Opioid), Antacids, Anti-Parkinson's Agents (Dopamine Agonist), Anticholinergic Agents, Antimalarial Agents, Aripiprazole, Atomoxetine, Attapulgite, Azelastine (Nasal), Beta-Blockers, Brimonidine (Topical), Buprenorphine, Cannabis, Chlorpheniramine, CNS Depressants, Codeine, CYP2D6 Inhibitors, CYP2D6 Substrates, Darunavir, Doxorubicin, Doxylamine, Dronabinol, Fesoterodine, Fluoxetine, Fluvoxamine, Highest Risk QTc-Prolonging Agents, Hydrocodone, HydrOXYzine, Ipratropium, Ivabradine, Kava Kava, Magnesium Sulfate, Methylphenidate, Metoclopramide, Metoprolol, Metyrosine, Metyrosine, Mifepristone, Moclobemide, Moderate Risk QTc-Prolonging Agents, Nabilone, Nebivolol, OnabotulinumtoxinA, Orphenadrine, Paraldehyde,Peginterferon Alfa-2b, Perampanel, Pimozide, Porfimer, Potassium Chloride, Pramlintide, QTc-Prolonging Agents, Quinagolide, RimabotulinumtoxinB, Rufinamide, Secretin, Selective Serotonin Reuptake Inhibitors, Serotonin Modulators, Sodium Oxybate, Sulpiride, Suvorexant, Tamoxifen, Tapentadol, Tetrahydrocannabinol, Thalidomide, Thiazide Diuretics, Thiopental, Tiotropium, Topiramate, Tramadol, Umeclidinium, Vortioxetine, Zolpidem	CYP2D6	CYP2D6	unspecified	FDA Approved	3.05	3.72	57.08	371	0	9.4	0.975	0.14	1	0.645	1	0.3	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	unspecified
Thiotepa	Alkylating agent	A derivative of nitrogen mustard, acts as a polyfunctional alkylating agent.3 Alkylation takes place through the formation of a highly reactive ethylenimine radical.3 This radical likely forms a cross-linkage between two strands of DNA,3 interfering with DNA, RNA, and protein synthesis.1,4 These actions do not appear to be cell cycle phase-specific. Thiotepa has immunosuppressive properties	NO	The authors report survival data from a series of patients with supratentorial anaplastic astrocytoma (AA) or glioblastoma multiforme (GBM) treated for ependymal or leptomeningeal gliomatosis with IT thio-TEPA. Early treatment with IT thio-TEPA may result in improved survival with minimal morbidity. Radiographic response may predict prolonged survival.	http://www.ncbi.nlm.nih.gov/pubmed/?term=10506724	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=16864853	Illerhaus G, J Clin Oncol 2006, 24:3865-3870	We chose high doses of the alkylating agents carmustine and thiotepa as they are able to penetrate the intact blood-brain-barrier due to their lipophilic properties. Thus, CSF levels in the range 50% to 80% of blood concentration for carmustine or up to 100% for thiotepa are reported. 	YES	6	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Fertility effects, Myelosuppression, Secondary malignancies	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, CYP2B6 Substrates, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live)	unspecified	CYP2B6	unspecified	FDA Approved	0.52	0.52	51	189	0	2.74	1	1	1	1	1	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV, Intravesical instillation	unspecified
Topotecan	Topoisomerase I inhibitor	semisynthetic, water-soluble derivative of camptothecin, which is a cytotoxic alkaloid extracted from plants such as Camptotheca acuminata. Topotecan has the same mechanism of action as irinotecan. It inhibits the action of topoisomerase I, an enzyme that produces reversible single-strand breaks in DNA during DNA replication. These single-strand breaks relieve torsional strain and allow DNA replication to proceed. Topotecan binds to the topoisomerase I-DNA complex and prevents religation of the DNA strand, resulting in double strand DNA breakage and cell death.3 Unlike irinotecan, topotecan is found predominantly in the inactive carboxylate form at neutral pH and it is not a prodrug. As a result, topotecan has different antitumour activities and toxicities from irinotecan	NO	Phase I; Oral Topotecan and Temozolomide for Patients With Malignant Gliomas; ongoing	http://www.clinicaltrials.gov/ct2/results?term=NCT00610571	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=9876816	Cersosimo R, Ann Pharmacother 1998, 32:1334-1343 	Distribution into the central nervous system was measured in a study of 17 children with central nervous system tumors who received topotecan by continuous infusion for 24 or 72 hours. The median cerebrospinal fluid to plasma ratio of topotecan lactone and total drug was 29% at 24 hours and 42% at 72 hours	YES	4.630952381	YES	yes	ABCB1; ABCG2	unspecified	Our results using Mdr1a/b(−/−)Bcrp1(−/−) mice clearly show the effect of Bcrp1 at the BBB and also show how two drug transporters act in concert to limit the brain penetration of topotecan.	http://www.ncbi.nlm.nih.gov/pubmed/?term=17975156	de Vries N, Clin Cancer Res 2007, 13:6440-6449	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Gastrointestinal toxicity, Interstitial lung disease, Neutropenic colitis	Amphotericin B, BCG, BCRP/ABCG2 Inhibitors, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Filgrastim, Fosphenytoin-Phenytoin, Leflunomide, Natalizumab, P-glycoprotein/ABCB1 Inhibitors, Pimecrolimus, Platinum Derivatives, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	1.08	0.45	103	421	2	7.65	1	1	0.566666667	0.564285714	0.5	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral, IV	Hycamtin
Toremifene	Selective estrogen receptor modulator	A first generation nonsteroidal selective estrogen receptor modulator (SERM) that is structurally related to tamoxifen. Like tamoxifen, it is an estrogen agonist for bone tissue and cholesterol metabolism but is antagonistic on mammary and uterine tissue. 	NO	unspecified	unspecified	No FDA review documents available online.	unspecified	unspecified	unspecified	unknown	2.326428571	NO	yes	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Gynecologic effects, Hypercalcemia, QT prolongation, Tumor flare	Amphotericin B, CYP3A4 Inducers (Strong), CYP3A4 Inhibitors (Strong), Dabrafenib, Deferasirox, Grapefruit Juice, Herbs (CYP3A4 Inducers), Highest Risk QTc-Prolonging Agents, Ivabradine, Mifepristone, Moderate Risk QTc-Prolonging Agents, Ospemifene, QTc-Prolonging Agents (Indeterminate Risk and Risk Modifying), Thiazide Diuretics, Tocilizumab, Vitamin K Antagonists	CYP1A2, CYP3A4	unspecified	unspecified	FDA Approved	7.81	6.51	12	406	0	8.69	0	0	0	0.671428571	1	0.655	2	377.745	0.536	0.078	6553.854	7407.075	0	Yes	unspecified	unspecified	Oral	Fareston
Trametinib	MEK1/2	kinase inhibitor indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test.  An orally bioavailable inhibitor of mitogen-activated protein kinase kinase (MEK MAPK/ERK kinase) with potential antineoplastic activity. Trametinib specifically binds to and inhibits MEK 1 and 2, resulting in an inhibition of growth factor-mediated cell signaling and cellular proliferation in various cancers. MEK 1 and 2, dual specificity threonine/tyrosine kinases often upregulated in various cancer cell types, play a key role in the activation of the RAS/RAF/MEK/ERK signaling pathway that regulates cell growth.	NO	unspecified	unspecified	GSK1120212B was found to cross the blood brain barrier. Measured concentrations were ~10% of plasma following a single dose; ~ 20% of plasma following multiple dosing. Peak CNS concentrations were achieved quickly (within 2-4 hours) and measurable concentrations were detectable for at least 8 hours, suggesting relatively slow clearance from that compartment.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21245089	Gilmartin A, Clin Cancer Res 2011, 17:989-1000	We demonstrated that GSK1120212 does not significantly penetrate intact brain nor inhibit brain p-ERK. Brain samples showed no inhibition of ERK phophorylation, with low levels of GSK1120212 detected at day 7 in the brain. 	YES	3.76	NEUTRAL	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Cardiomyopathy, Dermatologic toxicity, Ocular complications, Pulmonary toxicity	Aripiprazole, Axitinib, Saxagliptin	unspecified	CYP2C8	CYP3A4	FDA Approved	2.68	2.68	102	615	2	0.25	1	0.66	0.6	0	0.5	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Mekinist
Trastuzumab	HER2	human monoclonal IgG antibody which selectively targets HER2, a human epidermal growth factor receptor (EGFR). Trastuzumab inhibits the growth of tumour cells that overexpress HER2 on the surface of breast, gastric, ovarian, lung, and prostate cancer cells.2,3 Mechanisms involved include: decreasing VEGF production, activating antibody-dependent cell-mediated cytotoxicity, G0/G1 cell cycle cytotoxicity, and inhibiting intracellular signaling pathways	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=23142311	Fokas E, Biochim Biophys Acta 2013, 1835:61-75	the BBB penetration for trastuzumab is poor and impairs efficient treatment of BM that renders the brain a “sanctuary site” for colonoziation by metastatic cells	NO	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Cardiomyopathy, Infusion reactions, Pulmonary toxicity, Renal toxicity	Abciximab, Antineoplastic Agents (Anthracycline, Systemic), Belimumab, Immunosuppressants, PACLitaxel 	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Herceptin
Tretinoin	Retinoid	Tretinoin, also known as all-trans-retinoic acid (ATRA), is a naturally occurring derivative of vitamin A (retinol). It belongs to a class of retinoids, which are structurally related to vitamin A and involved in regulation of various biological processes. It induces terminal differentiation in several hemopoietic precursor cell lines and in cells from patients with acute promyelocytic leukemia (APL). The exact mechanism of action is not known, but tretinoin induces maturation of leukemic cells and appearance of normal hemopoietic cells.	NO	All-trans retinoic acid in relapsing malignant gliomas: clinical and radiological stabilization associated with the appearance of intratumoral calcifications. The results suggest: a) a therapeutic effect of ATRA in combination with cytosine arabinoside in patients with relapsing malignant gliomas b) that intratumoral calcifications are related to the effects of ATRA on differentiation and/or on endothelial t-PA production and that these effects explain the tumor progression arrest in responder patients.	http://www.ncbi.nlm.nih.gov/pubmed/?term=9210065	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=11832372	Werner E, Am J Physiol Endocrinol Metab 2002, 282:E672-678	Thus RA enters the brain but is not preferentially transported from the blood to the brain compared with other target tissues.This study demonstrates that RA is not only present throughout the brain and in the spinal cord of adult VAD rats given a physiological (1 mug, 3.52 nmol) amount of atROL (all-trans retinol), but it is detected at levels that are relatively higher than those detected in other target tissues. RA comprised the highest proportion of the organic phase radioactivity in the hippocampus-cortex, and the lowest percentage of RA was detected in the cerebellum. There were 2.90 ± 0.20 fmol RA/g tissue transported to the brain of VAD rats treated with 2.00 nmol [20-3H]all-trans-retinoic acid.	YES	3.683333333	NEUTRAL	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	APL differentiation syndrome, Cardiovascular effects, CNS effects, Leukocytosis, Lipid effects, Liver function test abnormalities, Pseudotumor cerebri	Amphotericin B, Antifibrinolytic Agents, BCG, Carbamazepine, Coccidioidin Skin Test, Contraceptives (Estrogens), Contraceptives (Progestins), CYP2C8 Inducers (Strong), CYP2C8 Inhibitors (Moderate), CYP2C8 Inhibitors (Strong), Dabrafenib, Deferasirox, Denosumab, Echinacea, Leflunomide, Mifepristone, Multivitamins/Fluoride (with ADE), Multivitamins/Minerals (with ADEK, Folate, Iron), Multivitamins/Minerals (with AE, No Iron), Natalizumab, Pimecrolimus, Porfimer, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tetracycline Derivatives, Tigecycline, Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Vitamin A 	CYP2A6, CYP2B6, CYP2C8, CYP2C9	CYP2C9	CYP2E1	FDA Approved	6.83	4.19	37	300	1	4.73	0	0	0.85	1	0.833333333	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	unspecified
Trifluoperazine	Dopamine receptor antagonist	Trifluoperazine blocks postsynaptic mesolimbic dopaminergic D1 and D2 receptors in the brain; depresses the release of hypothalamic and hypophyseal hormones and is believed to depress the reticular activating system thus affecting basal metabolism, body temperature, wakefulness, vasomotor tone, and emesis.	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=8602896	Aravagiri M, Neuropsychopharmacology 1995, 13:235-247	Figure 3 shows the time course of the 19F-NMR signal in the rat brain determined from successive 30-min spectra. The highest TFP (Trifluoperazine) levels in the brain were attained immediately following the injection of the drug, as is consistent with pharmacokinetic data. This indicates that TFP readily passed the blood brain barrier and distributed rapidly in the brain. The drug resided in the brain for more than 5 hr.	YES	4.2	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Drowsiness, dizziness, skin reactions, rash, dry mouth, insomnia, amenorrhea, fatigue, muscular weakness, anorexia, lactation, blurred vision and neuromuscular (extrapyramidal) reactions. 		CYP1A2	unspecified	unspecified	FDA Approved	2.79	4.51	35.02	407	0	8.1	1	0	0.751	0.465	1	0.95	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	unspecified
